LocationID,City,Country,Coordinates
210,YOKOHAMA,JAPAN,"(35.4333, 139.6333)"
211,BAOJISHI,CHINA,"(34.3609, 107.1751)"
212,GUANG'AN,CHINA,"(30.4673, 106.6336)"
213,HANZHONG,CHINA,"(33.0794, 107.026)"
214,KABUL,AFGHANISTAN,"(34.5328, 69.1658)"
215,ZAOZHUANG,CHINA,"(34.8667, 117.55)"
216,BERLIN,GERMANY,"(52.5167, 13.3833)"
217,ANSHAN,CHINA,"(41.1066, 122.9895)"
218,DEYANG,CHINA,"(31.1289, 104.395)"
219,LANZHOU,CHINA,"(36.0617, 103.8318)"
220,CHENGDE,CHINA,"(40.9739, 117.9322)"
221,SAN FRANCISCO,UNITED STATES,"(37.7562, -122.443)"
222,PUYANG,CHINA,"(35.7639, 115.03)"
223,SUINING,CHINA,"(30.5098, 105.5737)"
224,JIAOZUO,CHINA,"(35.229, 113.2304)"
225,BENGBU,CHINA,"(32.9354, 117.3531)"
226,MONTREAL,CANADA,"(45.5089, -73.5617)"
227,DETROIT,UNITED STATES,"(42.3834, -83.1024)"
228,BAICHENG,CHINA,"(23.901, 106.6194)"
229,BUSAN,"KOREA, SOUTH","(35.1, 129.0403)"
230,ALGIERS,ALGERIA,"(36.7764, 3.0586)"
231,QINCHENG,CHINA,"(34.5809, 105.7311)"
232,TAIYUAN,CHINA,"(37.8733, 112.5425)"
233,LUCKNOW,INDIA,"(26.847, 80.947)"
234,CHAOYANG,CHINA,"(41.5757, 120.4486)"
235,HECHI,CHINA,"(24.6928, 108.085)"
236,LESHAN,CHINA,"(29.5854, 103.7575)"
237,YULINSHI,CHINA,"(38.2655, 109.7388)"
238,SIPING,CHINA,"(43.1715, 124.3644)"
239,MADRID,SPAIN,"(40.4189, -3.6919)"
240,JINAN,CHINA,"(36.6667, 116.9833)"
241,SHIYAN,CHINA,"(32.6351, 110.7755)"
242,CHANGZHI,CHINA,"(36.1953, 113.097)"
243,SAN DIEGO,UNITED STATES,"(32.8312, -117.1225)"
244,FAISALABAD,PAKISTAN,"(31.418, 73.079)"
245,SANTA CRUZ,BOLIVIA,"(-17.7892, -63.1975)"
246,BAZHOU,CHINA,"(31.8576, 106.7559)"
247,ZHONGSHAN,CHINA,"(22.5333, 113.35)"
248,ZHENJIANG,CHINA,"(32.2109, 119.4551)"
249,URUMQI,CHINA,"(43.825, 87.6)"
250,TONGLIAO,CHINA,"(43.6172, 122.264)"
251,HEYUAN,CHINA,"(23.7503, 114.6923)"
252,TONGREN,CHINA,"(27.7233, 109.1885)"
253,QINZHOU,CHINA,"(21.95, 108.6167)"
254,JAIPUR,INDIA,"(26.9167, 75.8667)"
255,XINZHOU,CHINA,"(38.4178, 112.7233)"
256,ADDIS ABABA,ETHIOPIA,"(9.0272, 38.7369)"
257,GIZA,EGYPT,"(29.987, 31.2118)"
258,MEISHAN,CHINA,"(30.0575, 103.8381)"
259,BRASILIA,BRAZIL,"(-15.7744, -48.0773)"
260,MASHHAD,IRAN,"(36.3069, 59.6042)"
261,JINZHOU,CHINA,"(41.1144, 121.1292)"
262,TIELING,CHINA,"(42.2841, 123.8365)"
263,SHAOGUAN,CHINA,"(24.8011, 113.5927)"
264,SHANWEI,CHINA,"(22.7664, 115.3331)"
265,MINNEAPOLIS,UNITED STATES,"(44.9635, -93.2678)"
266,KYIV,UKRAINE,"(50.45, 30.5236)"
267,SANAA,YEMEN,"(15.35, 44.2)"
268,QUEZON CITY,PHILIPPINES,"(14.6333, 121.0333)"
269,DINGXI,CHINA,"(35.5806, 104.6263)"
270,SALVADOR,BRAZIL,"(-12.9708, -38.5108)"
271,INCHEON,"KOREA, SOUTH","(37.4639, 126.6486)"
272,BURSA,TURKEY,"(40.1833, 29.0667)"
273,NINGDE,CHINA,"(26.6667, 119.5167)"
274,TAMPA,UNITED STATES,"(27.9942, -82.4451)"
275,DAQING,CHINA,"(46.5979, 125.008)"
276,BIRMINGHAM,UNITED KINGDOM,"(52.48, -1.9025)"
277,PUTIAN,CHINA,"(25.4394, 119.0103)"
278,HUZHOU,CHINA,"(30.8695, 120.0958)"
279,WUZHOU,CHINA,"(23.4833, 111.3167)"
280,DENVER,UNITED STATES,"(39.7621, -104.8759)"
281,ROME,ITALY,"(41.8931, 12.4828)"
282,LA PAZ,BOLIVIA,"(-16.4942, -68.1475)"
283,PYONGYANG,"KOREA, NORTH","(39.03, 125.73)"
284,KANO,NIGERIA,"(12.0, 8.5167)"
285,TAICHUNG,TAIWAN,"(24.15, 120.6667)"
286,OMDURMAN,SUDAN,"(15.6835, 32.4629)"
287,ZIGONG,CHINA,"(29.3498, 104.7645)"
288,QINHUANGDAO,CHINA,"(39.9398, 119.5881)"
289,MUDANJIANG,CHINA,"(44.5861, 129.5997)"
290,HULUDAO,CHINA,"(40.7094, 120.8378)"
291,KAOHSIUNG,TAIWAN,"(22.6167, 120.3)"
292,XIANGTAN,CHINA,"(27.8431, 112.9228)"
293,GUAYAQUIL,ECUADOR,"(-2.1833, -79.8833)"
294,RIZHAO,CHINA,"(35.4164, 119.4331)"
295,MANCHESTER,UNITED KINGDOM,"(53.4794, -2.2453)"
296,CAWNPORE,INDIA,"(26.4725, 80.3311)"
297,BAOTOU,CHINA,"(40.6562, 109.8345)"
298,TAIPEI,TAIWAN,"(25.0478, 121.5319)"
299,NANPING,CHINA,"(26.6448, 118.1728)"
300,LONGYAN,CHINA,"(25.0881, 117.0244)"
301,IBADAN,NIGERIA,"(7.3964, 3.9167)"
302,HOHHOT,CHINA,"(40.8151, 111.6629)"
303,CHAOZHOU,CHINA,"(23.67, 116.63)"
304,ANTANANARIVO,MADAGASCAR,"(-18.9386, 47.5214)"
305,LONGBA,CHINA,"(33.535, 105.349)"
306,WEIHAI,CHINA,"(37.5, 122.1)"
307,CHATTOGRAM,BANGLADESH,"(22.335, 91.8325)"
308,SANTO DOMINGO,DOMINICAN REPUBLIC,"(18.4764, -69.8933)"
309,XUANZHOU,CHINA,"(30.9475, 118.7518)"
310,SANMING,CHINA,"(26.2658, 117.6302)"
311,BROOKLYN,UNITED STATES,"(40.6501, -73.9496)"
312,MEDELLIN,COLOMBIA,"(6.2447, -75.5748)"
313,BRISBANE,AUSTRALIA,"(-27.4678, 153.0281)"
314,BAOSHAN,CHINA,"(25.1211, 99.169)"
315,DUBAI,UNITED ARAB EMIRATES,"(25.2697, 55.3094)"
316,LUOHE,CHINA,"(33.583, 114.0109)"
317,QINBALING,CHINA,"(35.7278, 107.64)"
318,MIRZAPUR,INDIA,"(25.15, 82.58)"
319,GUANGYUAN,CHINA,"(32.4353, 105.8398)"
320,CALI,COLOMBIA,"(3.44, -76.5197)"
